Device ID,Facility,Clinical Area,Manufacturer,Model,Year Placed in Service,Approx. Age (Years),Network Status,Integration Status,Support Status,Lifecycle Status,Maintenance Status,Preliminary Risk Tier,Notes
HP-0274,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0339,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0356,Heartland Community Hospital,Emergency,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0372,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0408,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0412,Heartland Community Hospital,Emergency,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Limited,Aging,Limited,Moderate,
HP-0415,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0453,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0012,Heartland Community Hospital,ICU,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0083,Heartland Community Hospital,ICU,Heartland Medical Technologies,HI-200,2017,9,Network-connected,Integrated,Current,Current,Current,Moderate,
HP-0148,Heartland Community Hospital,ICU,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0176,Heartland Community Hospital,ICU,Heartland Medical Technologies,HI-100,2012,14,"Network-capable, not connected",Non-integrated,Unsupported,End-of-support,Expired,High,
HP-0252,Heartland Community Hospital,ICU,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0264,Heartland Community Hospital,ICU,Heartland Medical Technologies,HI-100,2011,15,Non-connected,Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0324,Heartland Community Hospital,ICU,Heartland Medical Technologies,HI-200,2015,11,Network-connected,Integrated,Limited,Aging,Limited,High,
HP-0395,Heartland Community Hospital,ICU,Apex Clinical Devices,HI-400,2022,4,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0446,Heartland Community Hospital,ICU,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0465,Heartland Community Hospital,ICU,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0472,Heartland Community Hospital,ICU,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0024,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0040,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0081,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-100,2012,14,Non-connected,Non-integrated,Unsupported,End-of-support,Limited,High,
HP-0088,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,"Network-capable, not connected","Connected, not integrated",Current,Aging,Current,Lower,
HP-0108,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0113,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,"Connected, not integrated",Current,Aging,Current,Lower,
HP-0114,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0119,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-100,2013,13,"Network-capable, not connected","Capable, not deployed",Unsupported,End-of-support,Expired,High,
HP-0132,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0133,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0135,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0153,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0181,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected","Capable, not deployed",Limited,Current,Current,Lower,
HP-0182,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0190,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-100,2013,13,"Network-capable, not connected","Capable, not deployed",Unsupported,End-of-support,Expired,High,
HP-0196,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0221,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0240,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0270,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Limited,High,
HP-0290,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-100,2012,14,Non-connected,Non-integrated,Limited,End-of-support,Limited,High,
HP-0291,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Connected, not integrated",Current,Aging,Current,Lower,
HP-0302,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0308,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0342,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0344,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0385,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0410,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0413,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0421,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0425,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0452,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0470,Heartland Community Hospital,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Limited,End-of-life,Limited,High,
HP-0477,Heartland Community Hospital,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0038,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-100,2010,16,"Network-capable, not connected",Non-integrated,Limited,End-of-life,Limited,High,
HP-0097,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Capable, not deployed",Current,Aging,Current,Lower,
HP-0143,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0146,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0155,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0188,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0226,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0247,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Limited,Aging,Current,Moderate,
HP-0259,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0262,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-100,2009,17,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0275,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-300,2022,4,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0353,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-200,2014,12,"Network-capable, not connected",Integrated,Current,Aging,Current,Moderate,
HP-0359,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0369,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-100,2013,13,Non-connected,"Capable, not deployed",Limited,End-of-support,Limited,High,
HP-0383,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0451,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected","Capable, not deployed",Current,Current,Current,Lower,
HP-0455,Heartland Community Hospital,Oncology,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0457,Heartland Community Hospital,Oncology,Apex Clinical Devices,HI-300,2022,4,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0059,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0061,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2019,7,Network-connected,"Connected, not integrated",Current,Aging,Current,Lower,
HP-0067,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-100,2011,15,"Network-capable, not connected",Non-integrated,Limited,End-of-life,Current,High,
HP-0073,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-100,2011,15,Non-connected,"Capable, not deployed",Limited,End-of-life,Limited,High,
HP-0101,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0128,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-100,2010,16,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0160,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0199,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-100,2012,14,"Network-capable, not connected","Capable, not deployed",Limited,End-of-support,Current,High,
HP-0201,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0212,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0237,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-200,2016,10,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0239,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-100,2009,17,Non-connected,Non-integrated,Limited,End-of-life,Limited,High,
HP-0269,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Connected, not integrated",Limited,Current,Current,Moderate,
HP-0320,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0328,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0358,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0371,Heartland Community Hospital,Operating Room,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Limited,Aging,Limited,Moderate,
HP-0386,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0389,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0405,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2020,6,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0439,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0480,Heartland Community Hospital,Operating Room,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0006,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2018,8,Network-connected,"Connected, not integrated",Current,Aging,Current,Lower,
HP-0010,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0019,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0055,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0066,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-100,2009,17,Non-connected,Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0103,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0105,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0109,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected",Integrated,Current,Current,Current,Lower,
HP-0110,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-100,2013,13,Non-connected,"Capable, not deployed",Unsupported,End-of-support,Expired,High,
HP-0141,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0144,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0194,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0228,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0248,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Limited,End-of-life,Limited,High,
HP-0251,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0265,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-400,2024,2,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0272,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2014,12,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0284,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0292,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0298,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0343,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-100,2009,17,Non-connected,"Capable, not deployed",Limited,End-of-life,Current,High,
HP-0352,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0368,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-100,2010,16,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Current,High,
HP-0404,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2014,12,"Network-capable, not connected","Capable, not deployed",Current,Aging,Current,Lower,
HP-0416,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0420,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2014,12,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0422,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2014,12,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0427,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0428,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0437,Heartland Regional Medical Center,Cardiology,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0475,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2015,11,"Network-capable, not connected",Integrated,Limited,Aging,Current,Moderate,
HP-0479,Heartland Regional Medical Center,Cardiology,Heartland Medical Technologies,HI-200,2014,12,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0025,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Limited,End-of-life,Current,High,
HP-0029,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Capable, not deployed",Current,Aging,Current,Lower,
HP-0058,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-100,2011,15,"Network-capable, not connected","Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0063,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0086,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-100,2011,15,Non-connected,Non-integrated,Unsupported,End-of-life,Limited,High,
HP-0131,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0134,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Limited,End-of-life,Current,High,
HP-0152,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0159,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Capable, not deployed",Current,Aging,Current,Lower,
HP-0192,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0213,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected",Integrated,Current,Current,Current,Lower,
HP-0224,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0263,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Connected, not integrated",Limited,Aging,Limited,Moderate,
HP-0289,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0319,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0334,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0348,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected","Capable, not deployed",Current,Current,Current,Lower,
HP-0429,Heartland Regional Medical Center,Emergency,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0447,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-100,2011,15,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Limited,High,
HP-0459,Heartland Regional Medical Center,Emergency,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Connected, not integrated",Current,Aging,Current,Lower,
HP-0002,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
